[12:22:54] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:12] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:13] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:14] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:15] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:16] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:17] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:18] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:19] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:21] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:22] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:23] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:24] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:25] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:26] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:27] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:28] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:29] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:30] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:31] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:32] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:33] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:34] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:35] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:36] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:37] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:38] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:39] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:39] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:40] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:41] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:42] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:43] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:44] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:45] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:46] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:47] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:48] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:49] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:51] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:52] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:53] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:54] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:55] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:56] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:57] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:58] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:23:59] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:00] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:01] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:02] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:03] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:04] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:05] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:06] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:07] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:08] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:09] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:10] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:10] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:11] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:12] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:13] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:14] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:15] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:24:16] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
